,dt,id,jd,seg_pos,t,track_pos,x,y,z,seg.D_msd,seg.D_msd_intercept,seg.D_msd_r,seg.D_msd_std_err,seg.id,seg.lifetime,seg.loc_count,seg.mjd,seg.mjd_n,seg.mjd_std_err,seg.motion,seg.msd,seg.msd_n,seg.msd_std_err,seg.t_start,seg.track_pos,track.id,track.lifetime,track.loc_count,track.noise,track.seg_count,track.t_start
90,1,90,0,4,4,0,41760,32335,5300,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
91,1,91,739.3578295,4,4,0,18850,33930,5900,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
92,1,92,205.0609665,4,4,0,6525,34945,6700,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
93,1,93,145,4,4,0,18125,33350,7200,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
94,1,94,145,0,4,0,29000,29580,9800,0.007770108696,-0.021025,0.9982743732,8.356344518e-007,65,3,4,96.66666667,3,48.33333333,immobile,14016.66667,3,7008.333333,4,0,28,3,4,0,1,4
95,0,95,0,0,4,0,16240,42340,10500,0,0,0,0,64,0,1,0,0,0,none,0,0,0,4,0,27,0,1,0,1,4
96,1,96,0,4,4,0,16240,42195,10700,-0.0003324110672,0.01529090909,-0.2306839344,2.621237178e-006,12,5,6,58,5,35.51760127,immobile,8410,5,5150.052184,0,0,6,5,6,0,1,0
97,1,97,0,5,5,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
98,1,98,0,5,5,0,24795,16965,200,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
99,1,99,458.5302607,5,5,0,6525,26100,500,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
100,1,100,0,5,5,0,26100,26680,1500,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
101,1,101,522.8049349,5,5,0,26100,14790,2700,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
102,0,102,0,0,5,0,46255,29290,2900,0,0,0,0,66,0,1,0,0,0,none,0,0,0,5,0,29,0,1,0,1,5
103,1,103,145,5,5,0,21315,24940,3200,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
104,1,104,145,5,5,0,24940,20300,3500,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
105,1,105,205.0609665,5,5,0,41760,32335,5200,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
106,1,106,145,5,5,0,32915,38425,5200,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
107,1,107,205.0609665,5,5,0,46255,23780,5300,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
108,1,108,882.0005669,5,5,0,19575,34075,5900,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
109,1,109,435,5,5,0,6380,35090,7200,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
110,1,110,0,5,5,0,17980,33350,7300,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
111,1,111,145,1,5,0,29000,29435,9700,0.007770108696,-0.021025,0.9982743732,8.356344518e-007,65,3,4,96.66666667,3,48.33333333,immobile,14016.66667,3,7008.333333,4,0,28,3,4,0,1,4
112,0,112,0,5,5,0,16240,42195,10600,-0.0003324110672,0.01529090909,-0.2306839344,2.621237178e-006,12,5,6,58,5,35.51760127,immobile,8410,5,5150.052184,0,0,6,5,6,0,1,0
113,1,113,0,6,6,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
114,1,114,0,6,6,0,24795,16965,300,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
115,1,115,145,6,6,0,6380,26535,600,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
116,1,116,145,6,6,0,26100,26680,1400,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
117,1,117,145,6,6,0,25810,15225,2600,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
118,1,118,0,6,6,0,21460,24940,3100,0.0008821597391,0.001290979585,0.9985460576,1.148292532e-010,46,81,82,33.70520905,81,7.119793631,immobile,5191.358025,81,1140.327611,0,0,19,132,133,0,3,0
119,1,119,0,6,6,0,24795,20300,3500,0.001130338481,0.003952311248,0.9968625379,1.288822528e-009,49,27,28,55.00677406,27,15.58931988,immobile,9344.444444,27,2824.220619,0,0,20,185,186,0,9,0
120,1,120,145,6,6,0,41615,32480,5200,0.003416368828,0.02084682203,0.9938640802,2.312973808e-008,17,27,28,158.693244,27,19.47199267,immobile,35041.66667,27,7185.787576,0,0,11,105,106,0,7,0
121,0,121,0,6,6,0,32915,38280,5200,-9.622425629e-005,0.01383223684,-0.1291330777,5.459979953e-007,35,6,7,72.5,6,32.42298567,immobile,10512.5,6,4701.332923,0,0,13,96,97,0,3,0
122,1,122,145,6,6,0,46400,23925,5500,0.0005401679842,0.02293636364,0.5961746814,3.023754563e-007,15,9,10,110.0135481,9,37.51354812,immobile,23361.11111,9,9560.946779,0,0,9,9,10,0,1,0
123,1,123,205.0609665,6,6,0,18705,34220,5900,0.0398062253,0.07664568182,0.9705565687,5.576986136e-005,16,9,10,445.6412392,9,81.93281236,diffusion,252300,9,85977.14106,0,0,10,9,10,0,1,0
124,1,124,205.0609665,6,6,0,17980,33350,7300,0.0008541874555,0.004273934426,0.9946684935,1.845361261e-009,3,19,20,48.95057719,19,17.23996266,immobile,7746.052632,19,2880.885955,0,0,3,297,298,0,7,0
125,1,125,145,6,6,0,5945,35090,7400,0.01646549576,0.06538262195,0.9522829905,1.856702397e-005,2,8,9,319.9113529,8,55.00467679,diffusion,123521.875,8,38612.61632,0,0,2,8,9,0,1,0
126,1,126,0,2,6,0,29000,29290,9600,0.007770108696,-0.021025,0.9982743732,8.356344518e-007,65,3,4,96.66666667,3,48.33333333,immobile,14016.66667,3,7008.333333,4,0,28,3,4,0,1,4
127,1,127,0,7,7,0,0,0,0,0,0,nan,0,1,780,781,0,780,0,immobile,0,780,0,0,0,1,780,781,0,1,0
128,1,128,0,7,7,0,24795,16965,300,0.0005401679842,0.006689772727,0.9968588652,2.046358686e-010,24,38,39,58.16270789,38,12.75869652,immobile,9405.921053,38,2200.034437,0,0,12,562,563,0,11,0
129,1,129,205.0609665,7,7,0,6380,26680,500,0.05384488203,-0.07533127962,0.9880917706,8.787957122e-006,38,34,35,403.9562106,34,40.40386488,diffusion,217052.2059,34,40994.11872,0,0,14,34,35,0,1,0
130,1,130,145,7,7,0,26100,26535,1400,0.0001088871488,0.02673864123,0.186580367,5.057312823e-008,43,28,29,134.1223845,28,18.3013143,immobile,27032.14286,28,6653.712347,0,0,16,28,29,0,1,0
131,1,131,324.2298567,7,7,0,25955,15225,2300,0.003926265146,0.06907229508,0.9857870716,1.053465534e-007,39,19,20,254.6578152,19,35.4096142,immobile,87419.73684,19,22979.09762,0,0,15,53,54,0,4,0
132,0,132,0,0,7,0,46255,29145,2700,0,0,0,0,68,0,1,0,0,0,none,0,0,0,7,0,31,0,1,0,1,7
133,0,133,0,0,7,0,46255,29145,2900,0,0,0,0,67,0,1,0,0,0,none,0,0,0,7,0,30,0,1,0,1,7
